Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,15.18,15.1,13.63,13.46,13.27,13.48,14.44,15.34,16.1,16.91,15.08,13.49,16.09,16.78,16.52,17.4,21.04,24.88,31.54,36.96,44.91,58.65,66.75,74.8,84.62,93.73,95.37,97.3,98.92
Albania,ALB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,11.31,8.95,6.89,6.83,7.67,7.43,7.15,6.42,6.67,7.89,8.22,8.19,8.82,9.25,9.31,9.1,9,9.05,8.79,8.85,9.13,9.63,9.24,9.44,9.93,9.85,9.72,10.29,10.08
Algeria,DZA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,95.01,93.88,93.5,101.04,98.79,103,104.32,108.44,113.77,119.75,126.38,124.71,131.94,137.71,141.58,147.03,152.53,159.65,162.97,172.87,174.02,179.95,189.82,194,204.13,212.08,209.79,211.85,218.91
American Samoa,ASM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.43,0.43,0.43,0.44,0.44,0.46,0.49,0.51,0.54,0.57,0.59,0.59,0.6,0.61,0.64,0.66,0.64,0.64,0.64,0.62,0.63,0.6,0.6,0.59,0.58,0.58,0.59,0.59,0.59
Angola,AGO,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,42.18,42.84,43.17,43.95,44.1,48.46,46.48,46.68,49.41,48.77,49.59,51.73,55.61,65.37,67.74,67.23,68.08,74.85,76.08,79.69,84.12,86.04,84.93,88.41,88.98,90.62,91.24,87.18,79.73
Antigua and Barbuda,ATG,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.36,0.37,0.45,0.43,0.43,0.46,0.49,0.52,0.57,0.59,0.61,0.65,0.71,0.75,0.76,0.79,0.86,0.92,0.97,1.93,1.04,1.07,1.29,1.06,1.07,1.1,1.13,1.16,1.21
Argentina,ARG,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,243.03,248.01,252.41,254.92,260,260.58,272.5,274.4,278.48,283.17,284.59,277.33,274.15,295.74,310.99,315.57,330.12,343.55,347.61,328.57,334.59,344.8,348.94,358.18,356.1,362.56,366.37,367.32,365.65
Armenia,ARM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,24.31,24.94,14.82,8.63,6.11,6.71,5.65,6.26,6.18,5.67,6.02,6.14,5.81,6.23,6.62,7.35,7.77,8.44,8.99,7.9,7.75,8.38,9.36,9.3,9.26,9.26,9.51,9.28,9.36
Aruba,ABW,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,503.82,503.74,505.91,505.59,508.67,516.76,514.52,522.74,550.57,583.61,608.21,634.1,627.08,546.71,605.38,568.38,611.7,614.99,587.26,601.07,571.22,673.13,670.93,581.89,593.5,594.58,573.39,619.79,615.38
Austria,AUT,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,76.26,80.46,74.67,74.59,74.69,77.16,80.88,79.87,79.85,78.03,78.24,82.55,83.86,88.94,89.75,89.79,87.47,84.39,83.95,77,82.72,80.79,77.57,78.12,74.35,75.48,75.66,77.83,74.98
Azerbaijan,AZE,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,76.76,85.78,62.02,70.16,63.63,61.58,56.94,57.03,57.85,58.18,60.26,60.62,61.53,59.24,60.53,64.52,67.56,66.22,73.8,74.71,78.99,82.31,83.48,83.03,83.21,82.03,81.89,80.52,80.26
"Bahamas, The",BHS,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,1.99,2.09,2.75,2.32,2.26,2.31,2.21,2.01,2.52,2.48,2.39,2.39,2.54,2.52,2.47,2.32,2.32,2.38,2.44,6.35,2.41,2.77,3.99,3.48,2.98,2.74,2.57,2.54,2.64
Bahrain,BHR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,14.06,13.76,15.78,16.68,17.13,17.96,19.34,20.33,22.17,22.86,24.03,24.85,26.02,27.07,27.37,30.46,32.89,34.03,36.43,37.02,38.92,39.66,40.88,43.76,45.9,46.95,47.16,47.94,48.95
Bangladesh,BGD,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,92.36,92.54,94.44,95.65,98.09,103.12,103.65,105.94,105.87,109.91,112.25,116.87,120.43,122.03,123.76,128.39,133.59,136.52,144.74,148.38,155.97,161.7,165.25,168.63,173.51,182.6,183.5,192.42,198.97
Barbados,BRB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,3.12,3.15,3.39,3.24,3.32,3.37,3.38,3.49,3.61,3.65,3.6,3.67,3.72,3.73,3.73,3.77,3.83,3.85,4.17,7.01,4,4.09,4.66,3.94,3.76,3.77,3.82,3.72,3.79
Belarus,BLR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,137.46,132.4,118.44,105.66,92.63,84.52,85.23,85.61,83.65,81.18,78.6,77.74,76.51,77.62,81.5,82.28,85.45,84.27,88.53,85.72,90.31,87.38,88.97,89.61,88.89,84.48,83.59,85.2,88.14
Belgium,BEL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,130.73,135.67,133.75,131.58,136.94,137.11,142.47,139.27,142.05,138.19,138.31,138.69,131.41,134.79,133.36,129.5,126.52,121.86,124.2,117.13,124.46,112.18,111.59,112.86,106.46,111.52,110.36,108.25,108.75
Belize,BLZ,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,6.56,6.78,7,7.06,7.17,6.09,4.92,3.97,2.92,1.83,0.8,0.9,0.99,1.06,0.87,0.93,1.02,1.11,1.12,2.17,1.3,1.42,1.45,1.36,1.31,1.48,1.51,1.53,1.56
Benin,BEN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,4.76,4.89,5.01,5.12,5.41,5.27,6.51,6.91,7.23,7.22,7.79,7.32,8.24,8.25,8.36,9.43,10.27,11.14,10.96,11.64,12.27,12.48,12.5,13.2,13.79,14.43,16.1,16.27,17.38
Bermuda,BMU,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,1.13,1.18,1.17,1.14,1.17,1.27,1.3,1.39,1.39,1.43,1.41,1.35,1.39,1.36,1.32,1.51,1.49,1.51,1.44,1.47,1.57,1.78,1.87,1.97,2.03,2.04,2.31,2.42,2.47
Bolivia,BOL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,23.23,24.03,25.85,27.62,29.69,29.27,28.76,29.35,30.42,30.62,30.52,30.43,33.16,33.94,36.41,38.56,39.23,40.33,41.58,42.91,47.73,47.8,49.13,50.91,51.87,53.4,55.78,56.3,56.87
Bosnia and Herzegovina,BIH,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,30.14,27.6,20.07,16.62,6.3,6.21,7.3,12.21,14.99,15.02,18.67,18.45,18.59,19.07,20.14,20.82,22.68,23.82,25.71,25.95,25.96,29.04,27.26,27.05,24.47,24.64,27.2,27.46,27.19
Botswana,BWA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,13.66,13.1,13.36,13.05,13.32,14.26,15.49,15.17,14.9,15.01,14.92,16.78,17.12,9.99,10.59,11.99,13.86,12.16,20.94,11.83,22.42,27.49,16.49,15.95,14.76,14.4,13.58,17.46,16.12
Brazil,BRA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,593.95,621.22,631.15,641.36,657.69,677.74,685.17,713.09,736.04,752.07,765.6,796.35,823.22,837.39,883.46,888.93,886.91,911.24,924.38,905.49,986.44,1004.84,1042.04,1070.85,1105.9,1082.7,1051.69,1064.92,1032.64
British Virgin Islands,VGB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,13.88,13.49,13.83,14.24,14.65,15.16,15.69,16.4,15.95,16.16,16.72,16.7,16.83,17.82,17.58,17.56,19.48,18.64,18.53,18.27,17.22,17.27,17.31,17.11,16.96,15.88,16.18,16.33,16.62
Bulgaria,BGR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,98.34,81.12,75.25,73.77,69.88,71.1,71.63,69.11,65.26,58.33,57.7,60.16,57.51,62.3,60.99,60.95,61.03,65.21,62.76,55.35,57.04,62.84,57.15,52.06,54.66,57.31,54.27,56.45,53.33
Burkina Faso,BFA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,12.51,12.95,13.26,13.52,13.98,14.37,14.4,15.01,15.16,15.5,16.62,15.81,16.55,20.03,20.63,21.3,21.35,22.1,22.94,23.64,24.81,25.25,25.97,26.99,27.49,28.24,29.65,30.56,30.85
